Occupation code,Occupation title,Level,Employment,Annual mean wage
51-9160,Computer Numerically Controlled Tool Opera...,broad,174650,"$46,740"
51-9161,Computer Numerically Controlled Tool Opera...,detail,149120,"$44,300"
51-9162,Computer Numerically Controlled Tool Progr...,detail,25530,"$61,010"
51-9190,Miscellaneous Production Workers,broad,638030,"$35,660"
51-9191,Adhesive Bonding Machine Operators and Ten...,detail,12400,"$37,640"
51-9192,"Cleaning, Washing, and Metal Pickling Equi...",detail,14060,"$34,600"
51-9193,Cooling and Freezing Equipment Operators a...,detail,8020,"$39,610"
51-9194,Etchers and Engravers,detail,9490,"$35,230"
51-9195,"Molders, Shapers, and Casters, Except Meta...",detail,41660,"$37,370"
51-9196,"Paper Goods Machine Setters, Operators, an...",detail,99890,"$41,480"
51-9197,Tire Builders,detail,18820,"$45,980"
51-9198,Helpers--Production Workers,detail,239340,"$32,000"
51-9199,"Production Workers, All Other",detail,194360,"$35,620"
53-0000,Transportation and Material Moving Occupat...,major,12163360,"$39,680"
53-1040,First-Line Supervisors of Transportation a...,broad,487450,"$58,330"
53-1041,Aircraft Cargo Handling Supervisors,detail,10020,"$59,620"
53-1047,First-Line Supervisors of Transportation a...,detail,477430,"$58,300"
53-2000,Air Transportation Workers,minor,269710,"$111,420"
53-2010,Aircraft Pilots and Flight Engineers,broad,120670,"$163,480"
53-2011,"Airline Pilots, Copilots, and Flight Engin...",detail,83550,"$186,870"
53-2012,Commercial Pilots,detail,37120,"$110,830"
53-2020,Air Traffic Controllers and Airfield Opera...,broad,32780,"$105,120"
53-2021,Air Traffic Controllers,detail,22190,"$127,440"
53-2022,Airfield Operations Specialists,detail,10590,"$58,360"
53-2031,Flight Attendants,detail,116260,"$59,150"
53-3000,Motor Vehicle Operators,minor,3976410,"$42,770"
53-3011,"Ambulance Drivers and Attendants, Except E...",detail,14120,"$30,700"
53-3030,Driver/Sales Workers and Truck Drivers,broad,3148070,"$44,200"
53-3031,Driver/Sales Workers,detail,420890,"$31,870"
53-3032,Heavy and Tractor-Trailer Truck Drivers,detail,1797710,"$48,710"
53-3033,Light Truck Drivers,detail,929470,"$41,050"
53-3050,Passenger Vehicle Drivers,broad,762820,"$37,300"
53-3052,"Bus Drivers, Transit and Intercity",detail,162850,"$48,110"
53-3058,"Passenger Vehicle Drivers, Except Bus Driv...",detail,599980,"$34,360"
53-3099,"Motor Vehicle Operators, All Other",detail,51390,"$40,200"
53-4000,Rail Transportation Workers,minor,114040,"$65,360"
53-4010,Locomotive Engineers and Operators,broad,41690,"$68,960"
53-4011,Locomotive Engineers,detail,37110,"$70,660"
53-4013,"Rail Yard Engineers, Dinkey Operators, and...",detail,4580,"$55,200"
53-4022,"Railroad Brake, Signal, and Switch Operato...",detail,14630,"$55,890"
53-4031,Railroad Conductors and Yardmasters,detail,44920,"$65,440"
53-4041,Subway and Streetcar Operators,detail,11250,"$65,480"
53-4099,"Rail Transportation Workers, All Other",detail,1540,"$54,670"
53-5000,Water Transportation Workers,minor,63020,"$73,530"
53-5011,Sailors and Marine Oilers,detail,25570,"$55,680"
53-5020,Ship and Boat Captains and Operators,broad,29980,"$86,860"
53-5021,"Captains, Mates, and Pilots of Water Vessels",detail,27590,"$89,740"
53-5022,Motorboat Operators,detail,2380,"$53,500"
53-5031,Ship Engineers,detail,7480,"$81,110"
53-6000,Other Transportation Workers,minor,330830,"$34,970"
53-6011,Bridge and Lock Tenders,detail,3080,"$49,610"
53-6021,Parking Attendants,detail,123790,"$27,910"
53-6031,Automotive and Watercraft Service Attendants,detail,112750,"$28,150"
53-6041,Traffic Technicians,detail,7430,"$53,140"
53-6051,Transportation Inspectors,detail,27360,"$81,320"
53-6061,Passenger Attendants,detail,22990,"$30,410"
53-6098,Aircraft Service Attendants and Transporta...,detail,33430,"$43,920"
53-7000,Material Moving Workers,minor,6921900,"$33,290"
53-7011,Conveyor Operators and Tenders,detail,23160,"$37,540"
53-7021,Crane and Tower Operators,detail,44060,"$64,010"
53-7031,Dredge Operators,detail,1750,"$53,790"
53-7041,Hoist and Winch Operators,detail,4460,"$62,730"
53-7051,Industrial Truck and Tractor Operators,detail,640950,"$39,210"
53-7060,Laborers and Material Movers,broad,6021330,"$32,040"
53-7061,Cleaners of Vehicles and Equipment,detail,341660,"$29,400"
53-7062,"Laborers and Freight, Stock, and Material ...",detail,2805200,"$33,710"
53-7063,Machine Feeders and Offbearers,detail,64240,"$34,470"
53-7064,"Packers and Packagers, Hand",detail,599270,"$29,270"
53-7065,Stockers and Order Fillers,detail,2210960,"$31,010"
53-7070,Pumping Station Operators,broad,26430,"$57,500"
53-7071,Gas Compressor and Gas Pumping Station Ope...,detail,3800,"$63,770"
53-7072,"Pump Operators, Except Wellhead Pumpers",detail,10580,"$51,830"
53-7073,Wellhead Pumpers,detail,12050,"$60,500"
53-7081,Refuse and Recyclable Material Collectors,detail,120850,"$42,620"
53-7121,"Tank Car, Truck, and Ship Loaders",detail,12610,"$50,670"
53-7199,"Material Moving Workers, All Other",detail,26300,"$37,770"
